id,dates,cardinal_points,region,city,latitude,longitude,category,commodity,unit,price_flag,price_type,currency,price,usd_price
48,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,cereals and tubers,Pasta,500 G,actual,Retail,LYD,2.2,0.4782
49,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,cereals and tubers,Potatoes,KG,actual,Retail,LYD,3,0.6521
50,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,cereals and tubers,Rice,KG,actual,Retail,LYD,4,0.8694
51,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1.5,0.326
52,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,7.5,1.6302
53,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,5,1.0868
54,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,9.4,2.0431
55,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,2.5,0.5434
56,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,9,1.9562
57,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,milk and dairy,"Milk (powder, infant formula)",KG,actual,Retail,LYD,40,8.6942
58,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,miscellaneous food,Salt,KG,actual,Retail,LYD,1,0.2174
59,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,miscellaneous food,Sugar,KG,actual,Retail,LYD,3,0.6521
60,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,9,1.9562
61,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,6.5,1.4128
62,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,1.52,0.3304
63,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,oil and fats,Oil (vegetable),L,actual,Retail,LYD,3.5,0.7607
64,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.5,0.5434
65,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,4,0.8694
66,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,vegetables and fruits,Onions,KG,actual,Retail,LYD,2,0.4347
67,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,vegetables and fruits,Tomatoes,KG,actual,Retail,LYD,3,0.6521
68,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1.25,0.1087
69,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,cereals and tubers,Couscous,KG,actual,Retail,LYD,3.4,0.739
70,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,cereals and tubers,Pasta,500 G,actual,Retail,LYD,1.65,0.3586
71,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,cereals and tubers,Potatoes,KG,actual,Retail,LYD,2.5,0.5434
72,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,cereals and tubers,Rice,KG,actual,Retail,LYD,3,0.6521
73,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1.5,0.326
74,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,8.25,1.7932
75,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,4.85,1.0542
76,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,11.3,2.4561
77,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,27.5,5.9773
78,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,2.63,0.5716
79,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,4.25,0.9238
80,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,miscellaneous food,Salt,KG,actual,Retail,LYD,0.9,0.1956
81,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,miscellaneous food,Sugar,KG,actual,Retail,LYD,3,0.6521
82,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,7.25,1.5758
83,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,4.9,1.065
84,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,0.98,0.213
85,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,oil and fats,Oil (vegetable),L,actual,Retail,LYD,4,0.8694
86,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.5,0.5434
87,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,2,0.4347
88,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,vegetables and fruits,Onions,KG,actual,Retail,LYD,2,0.4347
89,6/15/2017,West,Al Jabal Al Gharbi,Azzintan,31.93036079,12.24836159,vegetables and fruits,Tomatoes,KG,actual,Retail,LYD,2,0.4347
90,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1.25,0.1087
91,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,cereals and tubers,Couscous,KG,actual,Retail,LYD,3.4,0.739
92,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,cereals and tubers,Pasta,500 G,actual,Retail,LYD,1.65,0.3586
93,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,cereals and tubers,Potatoes,KG,actual,Retail,LYD,2.5,0.5434
94,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,cereals and tubers,Rice,KG,actual,Retail,LYD,3,0.6521
95,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1.5,0.326
96,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,8.25,1.7932
97,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,4.85,1.0542
98,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,11.3,2.4561
99,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,27.5,5.9773
100,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,2.63,0.5716
101,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,4.25,0.9238
102,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,miscellaneous food,Salt,KG,actual,Retail,LYD,0.9,0.1956
103,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,miscellaneous food,Sugar,KG,actual,Retail,LYD,3,0.6521
104,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,7.25,1.5758
105,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,4.9,1.065
106,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,0.98,0.213
107,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,oil and fats,Oil (vegetable),L,actual,Retail,LYD,4,0.8694
108,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.5,0.5434
109,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,2,0.4347
110,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,vegetables and fruits,Onions,KG,actual,Retail,LYD,2,0.4347
111,6/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,vegetables and fruits,Tomatoes,KG,actual,Retail,LYD,2,0.4347
112,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1,0.2174
113,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,cereals and tubers,Couscous,KG,actual,Retail,LYD,3.5,0.7607
114,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,cereals and tubers,Pasta,500 G,actual,Retail,LYD,1.5,0.326
115,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,cereals and tubers,Potatoes,KG,actual,Retail,LYD,2.5,0.5434
116,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,cereals and tubers,Rice,KG,actual,Retail,LYD,3.5,0.7607
117,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1.15,0.25
118,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,7.5,1.6302
119,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,4.75,1.0324
120,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,9,1.9562
121,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,19,4.1298
122,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,1.88,0.4086
123,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,4.75,1.0324
124,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,milk and dairy,"Milk (powder, infant formula)",KG,actual,Retail,LYD,38.8,8.4334
125,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,miscellaneous food,Salt,KG,actual,Retail,LYD,1,0.2174
126,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,miscellaneous food,Sugar,KG,actual,Retail,LYD,3,0.6521
127,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,7,1.5215
128,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,4.9,1.065
129,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,1.24,0.2695
130,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,oil and fats,Oil (vegetable),L,actual,Retail,LYD,3.5,0.7607
131,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.4,0.5217
132,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,1.75,0.3804
133,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,vegetables and fruits,Onions,KG,actual,Retail,LYD,1.5,0.326
134,6/15/2017,West,Nalut,Nalut,31.86422729,10.98298264,vegetables and fruits,Tomatoes,KG,actual,Retail,LYD,1.5,0.326
135,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1,0.2174
136,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,cereals and tubers,Couscous,KG,actual,Retail,LYD,3.5,0.7607
137,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,cereals and tubers,Pasta,500 G,actual,Retail,LYD,1.5,0.326
138,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,cereals and tubers,Potatoes,KG,actual,Retail,LYD,2.5,0.5434
139,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,cereals and tubers,Rice,KG,actual,Retail,LYD,3,0.6521
140,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1.25,0.2717
141,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,6.5,1.4128
142,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,4,0.8694
143,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,11,2.3909
144,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,22,4.7818
145,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,2.5,0.5434
146,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,4.8,1.0433
147,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,milk and dairy,"Milk (powder, infant formula)",KG,actual,Retail,LYD,46.9,10.194
148,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,miscellaneous food,Salt,KG,actual,Retail,LYD,1,0.2174
149,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,miscellaneous food,Sugar,KG,actual,Retail,LYD,3,0.6521
150,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,7.65,1.6628
151,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,5.5,1.1955
152,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,1.25,0.2717
153,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,oil and fats,Oil (vegetable),L,actual,Retail,LYD,3,0.6521
154,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.5,0.5434
155,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,2,0.4347
156,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,vegetables and fruits,Onions,KG,actual,Retail,LYD,1.5,0.326
157,6/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,vegetables and fruits,Tomatoes,KG,actual,Retail,LYD,1,0.2174
177,7/15/2017,East,Derna,Derna,32.75938034,22.63831902,pulses and nuts,Beans,400 G,actual,Retail,LYD,3,0.6521
191,7/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,30,6.5207
201,7/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,pulses and nuts,Beans,400 G,actual,Retail,LYD,2,0.4347
215,7/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,29,6.3033
225,7/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,pulses and nuts,Beans,400 G,actual,Retail,LYD,2.25,0.4891
270,7/15/2017,West,Al Jabal Al Gharbi,Ghiryan,32.1715889,13.02114487,pulses and nuts,Beans,400 G,actual,Retail,LYD,4.5,0.9781
317,7/15/2017,West,Sirt,Sirt,31.20596313,16.58362007,pulses and nuts,Beans,400 G,actual,Retail,LYD,2.5,0.5434
483,9/15/2017,East,Benghazi,Benghazi,32.12883377,20.08172035,milk and dairy,"Milk (powder, infant formula)",KG,actual,Retail,LYD,14,3.043
601,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1,0.2174
602,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,cereals and tubers,Couscous,KG,actual,Retail,LYD,3.5,0.7607
603,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,cereals and tubers,Pasta,500 G,actual,Retail,LYD,3,0.6521
604,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,cereals and tubers,Potatoes,KG,actual,Retail,LYD,2.5,0.5434
605,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,cereals and tubers,Rice,KG,actual,Retail,LYD,3.38,0.7347
606,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1.5,0.326
607,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,10,2.1736
608,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,3,0.6521
609,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,13,2.8256
610,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,33,7.1727
611,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,4.25,0.9238
612,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,4.5,0.9781
613,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,milk and dairy,"Milk (powder, infant formula)",KG,actual,Retail,LYD,11.5,2.4996
614,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,miscellaneous food,Salt,KG,actual,Retail,LYD,1,0.2174
615,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,miscellaneous food,Sugar,KG,actual,Retail,LYD,3.75,0.8151
616,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,10.5,2.2822
617,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,10,2.1736
618,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,1,0.2174
619,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,oil and fats,Oil (vegetable),L,actual,Retail,LYD,3.5,0.7607
620,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,pulses and nuts,Beans,400 G,actual,Retail,LYD,2.5,0.5434
621,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.5,0.5434
622,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,3,0.6521
623,9/15/2017,West,Misrata,Zliten,32.46756363,14.56564045,vegetables and fruits,Onions,KG,actual,Retail,LYD,1.75,0.3804
